asymmetrical, symmetrical
tastefully, tastelessly
nonstandard, standard
nonproprietary, proprietary
common, individual
subscript, superscript
adroit, maladroit
contraindication, indication
adaptive, maladaptive
prefix, suffix
armored, unarmored
rural, urban
agreeableness, disagreeableness
valuable, worthless
con, pro
majuscule, minuscule
endocrine, exocrine
badly, well
destabilize, stabilize
bipedal, quadrupedal
northernness, southernness
ashamed, unashamed
creativeness, uncreativeness
irresponsibleness, responsibleness
alert, unalert
impotent, potent
suitableness, unsuitableness
cleanness, dirtiness
believably, unbelievably
extrasensory, sensory
dryness, wetness
open, shut
irreplaceable, replaceable
internationalism, nationalism
derestrict, restrict
blond, brunet
imperfection, perfection
conserve, waste
nonslippery, slippery
enjoy, suffer
disproportionate, proportionate
modulated, unmodulated
lash, unlash
discreet, indiscreet
monism, pluralism
shod, unshod
experienced, inexperienced
discharge, enlist
head, tail
tubed, tubeless
back, veer
crossbred, purebred
insanely, sanely
obtrusively, unobtrusively
selfishness, unselfishness
monogamous, polygamous
seasonal, year-round
implausible, plausible
three-piece, two-piece
bloodily, bloodlessly
find, lose
close, open
intransitive, transitive
dissimilar, similar
intended, unintended
bottlefeed, breastfeed
private, public
waning, waxing
energetic, lethargic
dry, phlegmy
gaseous, liquid
edible, inedible
constipated, unconstipated
hypertonic, hypotonic
activeness, inactiveness
insanity, sanity
precocious, retarded
justly, unjustly
happiness, sadness
complainingly, uncomplainingly
seasonable, unseasonable
usefully, uselessly
indulgent, nonindulgent
causative, noncausative
dysgenic, eugenic
downtick, uptick
nonreflective, reflective
maximal, minimal
figurative, literal
groomed, ungroomed
bad, good
abaxially, adaxially
sheared, unsheared
aware, unaware
inhibited, uninhibited
off-site, on-site
disorganized, organized
branchless, branchy
far, near
folly, wisdom
offending, unoffending
bracteate, ebracteate
musically, unmusically
deepness, shallowness
compatible, incompatible
ambiversion, introversion
dishonesty, honesty
dehydrogenate, hydrogenate
liquid, solid
perplexed, unperplexed
connotative, denotative
sleepiness, wakefulness
start, stop
roofed, roofless
continual, sporadic
defeat, victory
disequilibrium, equilibrium
disesteem, esteem
livable, unlivable
autumnal, summery
seasonableness, unseasonableness
avow, disavow
hyperthermia, hypothermia
immutability, mutability
sympathetic, unsympathetic
legalize, outlaw
preparation, resolution
beautiful, ugly
palatability, unpalatability
estivate, hibernate
capitalism, socialism
interspecies, intraspecies
illiteracy, literacy
rifled, unrifled
convinced, unconvinced
flat, sharp
irresoluteness, resoluteness
local, national
insensitivity, sensitivity
fastidious, unfastidious
insensitiveness, sensitiveness
conjunct, disjunct
elegantly, inelegantly
conform, deviate
overhead, surface
competition, cooperation
melodious, unmelodious
changed, unchanged
former, latter
truthfully, untruthfully
cursorial, fossorial
fruitfully, fruitlessly
aestivate, hibernate
classify, declassify
bloodless, bloody
curtained, curtainless
actual, potential
advance, back
normal, paranormal
foe, friend
attributable, unattributable
advisable, inadvisable
inboard, outboard
interested, uninterested
granter, withholder
predictable, unpredictable
impersonal, personal
occidentalize, orientalize
imprudence, prudence
pull, push
distal, proximal
denazify, nazify
astomatous, stomatous
made, unmade
cismontane, tramontane
denationalization, nationalization
little, much
mendacity, veracity
allogamy, autogamy
pardonable, unpardonable
intense, mild
few, many
delineated, undelineated
corporeality, incorporeality
pronation, supination
anovulation, ovulation
nonviolently, violently
fathomable, unfathomable
ebb, tide
acceptance, rejection
diplomatic, undiplomatic
disinclination, inclination
hardball, softball
aqueous, igneous
approve, disapprove
digestibility, indigestibility
apteral, peripteral
auspiciousness, inauspiciousness
injustice, justice
apetalous, petalous
lawfully, lawlessly
punctuality, tardiness
controversial, uncontroversial
formed, unformed
accurate, inaccurate
calcicolous, calcifugous
productiveness, unproductiveness
nominative, oblique
gabled, hipped
aesthetic, inaesthetic
expired, unexpired
irrevocable, revocable
lawful, unlawful
come, go
motivated, unmotivated
androgynous, female
insecurity, security
Anglophilia, Anglophobia
crate, uncrate
decisive, indecisive
attend, miss
foolishly, wisely
pardonably, unpardonably
apoapsis, periapsis
effectively, ineffectively
imprecise, precise
monosemy, polysemy
closed, open
tasteless, tasty
commissioned, noncommissioned
corrected, uncorrected
objectively, subjectively
boy, girl
express, local
maximization, minimization
processed, unprocessed
subhuman, superhuman
clear, cloudy
knowable, unknowable
moving, still
registered, unregistered
conventional, unconventional
oriented, unoriented
