abaxial, dorsal
knight, horse
knit, knitting
knit, knitwork
knit, plain
knob, boss
knob, pommel
knobkerrie, knobkerry
knocker, doorknocker
knocker, rapper
knockoff, clone
kris, creese
kris, crease
krummhorn, crumhorn
krummhorn, cromorne
kylie, kiley
kylix, cylix
kymograph, cymograph
laager, lager
lab, laboratory
labetalol, Trandate
labetalol, Normodyne
lace, lacing
lacuna, blank
lagan, lagend
lagan, ligan
lamivudine, 3TC
lancet, lance
lanyard, laniard
lanyard, laniard
lanyard, laniard
lap, overlap
larboard, port
lash, thong
lash-up, contrivance
lasso, lariat
lasso, riata
lasso, reata
lathi, lathee
lattice, latticework
lattice, fretwork
launderette, Laundromat
laundry, wash
laundry, washing
laundry, washables
lavaliere, lavalier
lavaliere, lavalliere
court, lawcourt
layer, bed
lazaretto, lazaret
lazaretto, lazarette
lazaretto, pesthouse
lead, leading
leash, tether
leash, lead
leflunomide, Arava
legging, leging
lemon, stinker
lens, lense
leotard, unitard
levallorphan, Lorfan
Levi's, levis
Lidocaine, Xylocaine
lighter, light
lighter, igniter
lighter, ignitor
likeness, semblance
limiter, clipper
limousine, limo
linchpin, lynchpin
lincomycin, Lincocin
liner, lining
liniment, embrocation
lining, liner
link, linkup
link, tie
link, tie-in
lisinopril, Prinival
lisinopril, Zestril
lister, middlebreaker
litterbin, litter-basket
load, loading
load, burden
locomotive, engine
loft, attic
loft, garret
lookout, observatory
lorazepam, Ativan
lorry, camion
lotion, application
loudspeaker, speaker
louver, louvre
louver, fin
lovastatin, Mevacor
loxapine, Loxitane
LP, L-P
lugsail, lug
lumbermill, sawmill
lunette, fenestella
lungi, lungyi
lungi, longyi
lychgate, lichgate
machete, matchet
machete, panga
macintosh, mackintosh
macintosh, mac
macintosh, mack
mackintosh, macintosh
magazine, cartridge
magnetometer, gaussmeter
mailbag, postbag
mailboat, packet
maisonette, maisonnette
maisonette, maisonnette
majolica, maiolica
makeup, make-up
makeweight, filler
mallet, beetle
mallet, hammer
man, piece
manger, trough
mannequin, manikin
mannequin, mannikin
mannequin, manakin
mannequin, form
mannitol, Osmitrol
mansion, manse
mansion, hall
mansion, residence
mantel, mantelpiece
mantel, mantle
mantel, mantlepiece
mantel, chimneypiece
mantelet, mantilla
mantelet, mantlet
marimba, xylophone
marketplace, mart
marketplace, market
marlinespike, marlinspike
marlinespike, marlingspike
marquee, marquise
marquetry, marqueterie
masjid, musjid
mastaba, mastabah
master, original
masterpiece, chef-d'oeuvre
mat, matting
match, lucifer
match, mate
materiel, equipage
maul, sledge
maul, sledgehammer
maulstick, mahlstick
maze, labyrinth
meclizine, Antivert
meclofenamate, Meclomen
medicine, medication
medicine, medicament
mefloquine, Larium
mefloquine, Mephaquine
melphalan, Alkeran
memorial, monument
memory, storage
memory, store
menagerie, zoo
mend, patch
mend, darn
meperidine, Demerol
mephenytoin, Mesantoin
mephobarbital, Mebaral
meprobamate, Miltown
meprobamate, Equanil
meprobamate, Meprin
merbromine, Mercurochrome
mercaptopurine, Purinethol
merchandise, ware
merchandise, product
mescaline, peyote
metaproterenol, Alupent
meterstick, metrestick
metformin, Glucophage
methacholine, Mecholyl
methadone, methadon
methadone, fixer
methamphetamine, Methedrine
methamphetamine, meth
methamphetamine, deoxyephedrine
methamphetamine, chalk
methamphetamine, crank
methamphetamine, glass
methamphetamine, ice
methamphetamine, shabu
methamphetamine, trash
methaqualone, Quaalude
metharbital, Gemonil
methenamine, Mandelamine
methenamine, Urex
methocarbamol, Robaxin
methotrexate, amethopterin
methyldopa, Aldomet
methylenedioxymethamphetamine, MDMA
methylphenidate, Ritalin
metoprolol, Lopressor
metro, tube
metro, underground
metro, subway
metronidazole, Flagyl
mexiletine, Mexitil
mezzanine, entresol
mezzo-relievo, mezzo-rilievo
mezzo-relievo, half-relief
miconazole, Monistat
microphone, mike
midazolam, Versed
mill, grinder
millrace, millrun
mimeograph, mimeo
mimeograph, Roneo
mimeograph, Roneograph
miniature, toy
miniature, illumination
minibar, cellaret
minibike, motorbike
miniskirt, mini
minisub, minisubmarine
minocycline, Minocin
minoxidil, Loniten
minoxidil, Rogaine
miter, mitre
miter, mitre
mithramycin, Mithracin
mitomycin, Mutamycin
mizzen, mizen
mizzenmast, mizenmast
mizzenmast, mizzen
mizzenmast, mizen
moat, fosse
moccasin, mocassin
model, simulation
moire, watered-silk
mold, mould
mold, cast
mold, mould
mold, molding
mold, moulding
mold, modeling
moldboard, mouldboard
molding, moulding
molding, border
molding, moulding
molindone, Moban
monocle, eyeglass
monstrance, ostensorium
morgue, mortuary
morion, cabasset
morphine, morphia
mortar, howitzer
mortarboard, hawk
mortise, mortice
mosaic, photomosaic
motif, motive
motorboat, powerboat
motorcycle, bike
mound, hill
mound, hill
mount, setting
mouthpiece, embouchure
mouthpiece, gumshield
mudguard, splash-guard
mule, scuff
munition, ordnance
nabumetone, Relafen
nadolol, Corgard
nafcillin, Nafcil
nalorphine, Nalline
naloxone, Narcan
naphazoline, Privine
naphazoline, Sudafed
napkin, serviette
naproxen, Naprosyn
nard, spikenard
naumachy, naumachia
neckcloth, stock
necktie, tie
needlework, needlecraft
nefazodone, Serzone
negligee, neglige
negligee, peignoir
negligee, wrapper
negligee, housecoat
nelfinavir, Viracept
neomycin, fradicin
neomycin, Neobiotic
neostigmine, Prostigmin
net, network
net, mesh
net, meshing
net, meshwork
nevirapine, Viramune
newspaper, paper
nifedipine, Procardia
nightgown, gown
nightgown, nightie
nightgown, night-robe
nightgown, nightdress
nightwear, sleepwear
nightwear, nightclothes
ninepin, skittle
nine-spot, nine
nitrofurantoin, Macrodantin
Nitrospan, Nitrostat
node, client
node, guest
nomogram, nomograph
nortriptyline, Pamelor
nosebag, feedbag
noseband, nosepiece
nozzle, nose
numdah, nammad
nylons, rayons
nystatin, Mycostatin
nystatin, Nystan
oboe, hautboy
oboe, hautbois
obstruction, obstructor
obstruction, obstructer
obstruction, impediment
obstruction, impedimenta
odometer, hodometer
odometer, mileometer
odometer, milometer
oeuvre, work
oilskin, slicker
ointment, unction
ointment, unguent
ointment, balm
ointment, salve
organdy, organdie
orphenadrine, Norflex
orthopter, ornithopter
oscilloscope, scope
oscilloscope, CRO
otoscope, auriscope
otoscope, auroscope
ottoman, pouf
ottoman, pouffe
ottoman, puff
ottoman, hassock
out-basket, out-tray
outerwear, overclothes
outfit, getup
outfit, rig
outfit, turnout
outhouse, privy
outhouse, earth-closet
outhouse, jakes
output, outturn
output, turnout
overall, boilersuit
overcast, overcasting
overcoat, overcoating
overload, overburden
overpass, flyover
overprint, surprint
ovolo, thumb
oxaprozin, Daypro
oxazepam, Serax
oxyphenbutazone, Tandearil
oxyphencyclimine, Daricon
oxytetracycline, hydroxytetracycline
oxytetracycline, Terramycin
package, parcel
pad, inkpad
padding, cushioning
paillasse, palliasse
paint, pigment
painting, picture
pajama, pyjama
pajama, pj's
pajama, jammies
pajama, pyjama
palace, castle
palanquin, palankeen
palestra, palaestra
palette, pallet
pall, shroud
pall, cerement
pall, winding-sheet
pall, winding-clothes
pallette, palette
palliative, alleviant
palliative, alleviator
panacea, nostrum
panacea, catholicon
panacea, cure-all
panatela, panetela
panatela, panetella
paneling, panelling
paneling, pane
panorama, cyclorama
panorama, diorama
panpipe, syrinx
pantie, panty
pantie, scanty
pantie, step-in
panting, trousering
pantry, larder
pantry, buttery
papaverine, Kavrin
parachute, chute
parapet, breastwork
parasol, sunshade
pargeting, pargetting
pargeting, pargetry
parka, windbreaker
parka, windcheater
parka, anorak
parlor, parlour
paroxetime, Paxil
parquetry, parqueterie
parsonage, vicarage
parsonage, rectory
part, portion
partisan, partizan
partition, divider
passkey, passe-partout
passkey, master
patchouli, patchouly
patchouli, pachouli
pathway, footpath
patio, terrace
pavement, paving
pavilion, marquee
pavior, paviour
pavis, pavise
pawl, detent
pawl, click
pawl, dog
pay-phone, pay-station
peavey, peavy
pedal, treadle
pedestal, plinth
pedestal, footstall
peephole, spyhole
peephole, eyehole
peg, nog
peg, pin
peg, thole
peg, tholepin
peg, rowlock
peg, oarlock
peg, leg
peg, pegleg
pendant, pendent
penicillamine, Cuprimine
penitentiary, pen
pennant, pennon
pennant, streamer
pennant, waft
pennoncel, penoncel
pennoncel, pennoncelle
pennywhistle, whistle
pentaerythritol, Peritrate
pentazocine, Talwin
pentoxifylline, Trental
pentylenetetrazol, pentamethylenetetrazol
pentylenetetrazol, Metrazol
peplos, peplus
peplos, peplum
perfume, essence
periwig, peruke
perphenazine, Triavil
pestle, muller
pestle, pounder
petticoat, half-slip
petticoat, underskirt
pharmaceutical, pharmaceutic
phenazopyridine, Pyridium
phencyclidine, PCP
phenelzine, Nardil
phensuximide, Milontin
phentolamine, Vasomax
phenylbutazone, Butazolidin
phial, vial
phial, ampule
phial, ampul
phial, ampoule
photograph, photo
photograph, exposure
photograph, picture
photograph, pic
piano, pianoforte
piano, forte-piano
pick, pickax
pick, pickaxe
pick, plectrum
pick, plectron
picket, pale
pickup, pick-me-up
picture, image
picture, icon
picture, ikon
pier, wharf
pier, wharfage
pier, dock
pile, nap
pile, spile
pile, piling
pile, stilt
pill, lozenge
pill, tablet
pill, tab
pill, anovulant
pillbox, toque
pillbox, turban
pilothouse, wheelhouse
pin, flag
pincer, tweezer
pindolol, Visken
pipe, pipage
pipe, piping
pipeline, line
piperacillin, Pipracil
piperocaine, Metycaine
pipet, pipette
piroxicam, Feldene
pistol, handgun
piston, plunger
pit, quarry
pit, pitfall
pitcher, ewer
pitprop, sprag
pivot, pin
pixel, pel
plane, planer
plant, works
plaster, plasterwork
plate, scale
plate, shell
playbox, play-box
playpen, pen
plaything, toy
plaza, mall
plaza, center
pleat, plait
pleximeter, plessimeter
plexor, plessor
plexor, percussor
pliers, plyers
plow, plough
plowshare, ploughshare
plowshare, share
plug, stopper
plug, stopple
plywood, plyboard
point, gunpoint
poker, salamander
polarimeter, polariscope
poleax, poleaxe
poleax, poleaxe
polypropenonitrile, Acrilan
pomade, pomatum
pommel, saddlebow
pompon, pom-pom
poniard, bodkin
port, embrasure
port, porthole
portmanteau, Gladstone
portrait, portrayal
postbox, mailbox
pot, grass
pot, dope
pot, weed
pot, gage
pot, sess
pot, sens
pot, smoke
pot, skunk
pot, locoweed
pot, flowerpot
potentiometer, pot
pottery, clayware
poultice, cataplasm
poultice, plaster
powderpuff, puff
praetorium, pretorium
pravastatin, Pravachol
prazosin, Minipress
preventive, preventative
preventive, prophylactic
primidone, Mysoline
procaine, Ethocaine
procyclidine, Kemadrin
prod, goad
product, production
projectile, missile
promenade, mall
promethazine, Phenergan
prompter, autocue
propanolol, Inderal
propeller, propellor
property, prop
propjet, turboprop
propoxyphene, Darvon
proscenium, apron
proscenium, forestage
pruner, lopper
psilocybin, psilocin
pullback, tieback
pulley, pulley-block
pulley, block
pull-in, pull-up
pull-off, layby
pull-off, lay-by
pullover, slipover
punch, puncher
puppet, marionette
purgative, cathartic
purgative, physic
purgative, aperient
pusher, zori
pyx, pix
pyx, pix
quad, quadrangle
quad, space
quilt, comforter
quilt, comfort
quilt, puff
quinacrine, mepacrine
quinacrine, Atabrine
quinidine, Quinidex
quinidine, Quinora
quoin, coign
quoin, coigne
quoin, coign
quoin, coigne
R-2, rophy
R-2, rope
R-2, roofy
R-2, roach
R-2, circle
rabato, rebato
rabbet, rebate
racetrack, racecourse
racetrack, raceway
racetrack, track
raceway, race
rack, stand
rack, wheel
racket, racquet
radar, radiolocation
radio, wireless
radiogram, radiograph
radiogram, shadowgraph
radiogram, skiagraph
radiogram, skiagram
radio-phonograph, radio-gramophone
radiophotograph, radiophoto
radiotelegraph, radiotelegraphy
radiotelephone, radiophone
rafter, balk
rafter, baulk
rag, shred
rag, tag
rag, tatter
railing, rail
railway, railroad
raincoat, waterproof
ramekin, ramequin
ramipril, Altace
ramjet, atherodyde
ramjet, athodyd
ramp, incline
rampart, bulwark
rampart, wall
ranch, spread
ranitidine, Zantac
rapier, tuck
ratchet, rachet
ratchet, ratch
ratline, ratlin
rattan, ratan
readout, read-out
reamer, juicer
rear, back
reboxetine, Edronax
recess, niche
recliner, lounger
reflection, reflexion
refrigerator, icebox
refuge, sanctuary
refuge, asylum
release, button
relief, relievo
relief, rilievo
relief, embossment
remake, remaking
remedy, curative
remedy, cure
remedy, therapeutic
rep, repp
replica, replication
replica, reproduction
repository, monument
reserpine, Raudixin
reserpine, Rau-Sed
reserpine, Sandril
reserpine, Serpasil
resistor, resistance
respirator, inhalator
restaurant, eatery
restraint, constraint
reticle, reticule
reticle, graticule
retread, recap
revers, revere
reverse, verso
revetment, revetement
revolver, six-gun
revolver, six-shooter
riband, ribband
ribavirin, Virazole
rickrack, ricrac
ridge, ridgepole
ridge, rooftree
rifampin, Rifadin
rifampin, Rimactane
rig, rigging
rigging, tackle
ring, band
ripsaw, splitsaw
ritonavir, Norvir
road, route
roadblock, barricade
roadster, runabout
roadster, two-seater
rocker, cradle
rocket, projectile
roentgenogram, X-ray
rofecoxib, Vioxx
rouge, paint
rouge, blusher
rudderpost, rudderstock
rug, carpet
rug, carpeting
rule, ruler
rundle, spoke
rundle, rung
rung, round
rung, stave
saber, sabre
sack, poke
sack, sacque
sacking, bagging
safe-deposit, safety-deposit
safe-deposit, lockbox
sail, canvas
sail, canvass
sail, sheet
sallet, salade
salwar, shalwar
samisen, shamisen
sanatorium, sanatarium
sanatorium, sanitarium
sandbox, sandpile
sandbox, sandpit
sarcenet, sarsenet
sari, saree
satellite, orbiter
satinet, satinette
sawhorse, horse
sawhorse, sawbuck
sawhorse, buck
sax, saxophone
scaffolding, staging
scantling, stud
scapular, scapulary
scarecrow, strawman
scarecrow, bird-scarer
scarecrow, scarer
scauper, scorper
scene, view
scenery, scene
schlock, shlock
schlock, dreck
school, schoolhouse
scopolamine, hyoscine
scourge, flagellum
screen, cover
screen, covert
screen, concealment
scribble, scrabble
scribble, doodle
scriber, scribe
seal, stamp
seaplane, hydroplane
seascape, waterscape
seating, seats
secretary, escritoire
secretary, secretaire
section, segment
sedan, saloon
sedative, depressant
sedative, downer
seesaw, teeter
seesaw, teeter-totter
seesaw, teetertotter
seesaw, teeterboard
self-feeder, feeder
selsyn, synchro
selvage, selvedge
selvage, selvedge
semitrailer, semi
sequence, episode
sequencer, sequenator
sequin, spangle
sequin, diamante
serape, sarape
sertraline, Zoloft
server, host
servo, servomechanism
servo, servosystem
set-back, setoff
set-back, offset
settle, settee
seven-spot, seven
seventy-eight, 78
sewer, sewerage
sewer, cloaca
sewing, stitchery
shackle, bond
shackle, hamper
shackle, trammel
shaft, scape
shank, waist
shank, stem
shard, sherd
shard, fragment
sheathing, overlay
sheathing, overlayer
sheepwalk, sheeprun
sheet, tack
sheet, mainsheet
sheet, shroud
shell, case
shell, casing
shield, buckler
shillelagh, shillalah
shirtwaist, shirtwaister
shoelace, shoestring
shofar, shophar
shop, store
shopfront, storefront
shore, shoring
shortcut, cutoff
shortcut, crosscut
shot, pellet
shotgun, scattergun
shoulder, berm
showroom, salesroom
showroom, saleroom
shunt, bypass
shuttlecock, bird
shuttlecock, birdie
shuttlecock, shuttle
sidewalk, pavement
siding, turnout
siding, sidetrack
sieve, screen
signboard, sign
sildenafil, Viagra
silencer, muffler
silkscreen, serigraph
simvastatin, Zocor
singlestick, backsword
singlet, vest
singlet, undershirt
siphon, syphon
six-pack, sixpack
six-spot, six
skeleton, frame
skeleton, underframe
sketch, study
skylight, fanlight
skyrocket, rocket
slat, spline
sled, sledge
sled, sleigh
sleeve, arm
slingback, sling
slingshot, sling
slingshot, catapult
sluice, sluiceway
sluice, penstock
sluicegate, floodgate
sluicegate, penstock
smelter, smeltery
smokestack, stack
snapshot, snap
snapshot, shot
snare, gin
snare, noose
snip, snippet
snip, snipping
snips, tinsnips
snorkel, schnorkel
snorkel, schnorchel
snorkel, breather
snowplow, snowplough
soap, scoop
soap, max
soap, goop
sofa, couch
sofa, lounge
solleret, sabaton
sonar, asdic
sonogram, echogram
soporific, hypnotic
soundbox, body
sourdine, sordino
spandrel, spandril
spat, gaiter
spear, lance
spear, shaft
spear, gig
spear, fizgig
spear, fishgig
spear, lance
spearhead, spearpoint
spearhead, spear-point
spectacles, specs
spectacles, eyeglasses
spectacles, glasses
spectrogram, spectrograph
spermicide, spermatocide
spike, spindle
spillway, spill
spillway, wasteweir
spindle, mandrel
spindle, mandril
spindle, arbor
spine, backbone
spiral, volute
spittoon, cuspidor
splashboard, splasher
splashboard, dashboard
splice, splicing
spoke, radius
sportswear, activewear
spotlight, spot
springer, impost
spur, gad
saquinavir, Invirase
stabilizer, stabiliser
stable, stalls
stadium, bowl
stadium, arena
stagecoach, stage
stairs, steps
stairway, staircase
stall, stand
stamp, pestle
standard, banner
starship, spaceship
stave, lag
steakhouse, chophouse
steamer, steamship
steeple, spire
stele, stela
step, stair
stereo, stereophony
stern, quarter
stern, poop
stern, tail
stick, joystick
stimulant, excitant
stock, inventory
stock, gunstock
stockinet, stockinette
stogy, stogie
stokehold, stokehole
stokehold, fireroom
stoop, stoep
stopcock, cock
stopcock, turncock
storehouse, depot
storehouse, entrepot
storehouse, storage
storehouse, store
storeroom, stowage
stoup, stoop
stove, range
Stradavarius, Strad
straightaway, straight
straitjacket, straightjacket
streetcar, tram
streetcar, tramcar
streetcar, trolley
strengthener, reinforcement
string, twine
strip, slip
stroboscope, strobe
strongbox, deedbox
stronghold, fastness
structure, construction
stud, rivet
stupa, tope
sty, pigsty
sty, pigpen
stylus, style
subject, content
submarine, pigboat
submarine, sub
submarine, U-boat
subsection, subdivision
sucralfate, Carafate
sudatorium, sudatory
sudorific, sudatory
suite, rooms
sulfacetamide, Sulamyd
sulfamethazine, sulfamezathine
sulfamethoxazole, Gantanol
sulfisoxazole, Gantrisin
sulindac, Clinoril
sum, total
sum, totality
sum, aggregate
sunglasses, shades
sunroof, sunshine-roof
sunscreen, sunblock
suppressor, suppresser
swab, swob
swab, mop
swathe, wrapping
swatter, flyswatter
swatter, flyswat
sweater, jumper
swimsuit, swimwear
switchblade, flick-knife
switchboard, patchboard
switchboard, plugboard
sword, blade
sword, brand
sword, steel
synagogue, temple
synagogue, tabernacle
synchroscope, synchronoscope
synchroscope, synchronizer
synchroscope, synchroniser
synthesizer, synthesiser
tabi, tabis
tabor, tabour
taboret, tabouret
tachistoscope, t-scope
tachometer, tach
tachymeter, tacheometer
tadalafil, Cialis
taenia, tenia
taenia, fillet
tail, empennage
tailgate, tailboard
tam, tam-o'-shanter
tam, tammy
tamp, tamper
tampion, tompion
tap, spigot
tapa, tappa
tape, taping
tape, tapeline
tapestry, arras
tapestry, tapis
target, butt
tarmacadam, tarmac
tarmacadam, macadam
tarpaulin, tarp
tartan, plaid
tasset, tasse
taw, shooter
teashop, teahouse
teashop, tearoom
telegraph, telegraphy
telephone, phone
telephotograph, telephoto
telescope, scope
teletypewriter, teleprinter
teletypewriter, telex
telpher, telfer
telpherage, telferage
temazepam, Restoril
tender, pinnace
tender, cutter
ten-spot, ten
tent-fly, rainfly
tent-fly, fly
tepee, tipi
tepee, teepee
terazosin, Hytrin
terbinafine, Lamisil
terminal, terminus
terminal, depot
terminal, pole
terminus, term
terry, terrycloth
tetrachlorethylene, tetrachloroethylene
tetracycline, Achromycin
tetrahydrocannabinol, THC
tetraskelion, tetraskele
theater, theatre
theater, house
theodolite, transit
theophylline, Elixophyllin
theophylline, Slo-Bid
theophylline, Theobid
thermograph, thermometrograph
thermohydrometer, thermogravimeter
thermostat, thermoregulator
thimerosal, Merthiolate
thiopental, Pentothal
thioridazine, Mellaril
thiothixene, Navane
thread, yarn
thresher, thrasher
thumbtack, pushpin
tie, crosstie
tie, sleeper
tights, leotards
timepiece, timekeeper
timepiece, horologe
timolol, Blocadren
tire, tyre
TNT, trinitrotoluene
tobacco, baccy
tobramycin, Nebcin
tocainide, Tonocard
togs, threads
togs, duds
toilet, lavatory
toilet, lav
toilet, can
toilet, john
toilet, privy
toilet, bathroom
toilet, can
toilet, commode
toilet, crapper
toilet, pot
toilet, potty
toilet, stool
toilet, throne
tolazamide, Tolinase
tolbutamide, Orinase
tollbooth, tolbooth
tollbooth, tollhouse
tollgate, tollbar
tomahawk, hatchet
tonic, restorative
toolshed, toolhouse
top, cover
top, whirligig
top, teetotum
tormenter, tormentor
tormenter, teaser
torus, tore
toupee, toupe
toweling, towelling
towline, towrope
tracing, trace
track, cartroad
track, rail
track, rails
track, runway
tramcar, tram
tramline, tramway
tramway, tram
tramway, ropeway
trandolapril, Mavik
tranquilizer, tranquillizer
tranquilizer, tranquilliser
tranquilizer, ataractic
transmitter, sender
transom, traverse
transom, fanlight
trave, traverse
trave, crossbeam
trave, crosspiece
trawl, dragnet
trawl, spiller
trawl, setline
trawl, trotline
trawler, dragger
trazodone, Desyrel
treadmill, treadwheel
treadmill, tread-wheel
treenail, trenail
treenail, trunnel
trellis, treillage
trepan, trephine
trey, three
triazolam, Halcion
trichlormethiazide, Naqua
tricolor, tricolour
tricorn, tricorne
tricycle, trike
tricycle, velocipede
trimipramine, Surmontil
trimming, trim
trimming, passementerie
tripper, trip
triskelion, triskele
triviality, trivia
triviality, trifle
trophy, prize
trouser, pant
truck, motortruck
truncheon, nightstick
truncheon, baton
truncheon, billy
truncheon, billystick
tub, vat
tube, tubing
tugboat, tug
tugboat, towboat
tugboat, tower
tumbrel, tumbril
tupik, tupek
turnout, widening
turtleneck, turtle
turtleneck, polo-neck
twenty-two, .22
tyrocidine, tyrocidin
tyrolean, tirolean
uke, ukulele
undercoat, underseal
undergarment, unmentionable
underpass, subway
underwear, underclothes
underwear, underclothing
unicycle, monocycle
upright, vertical
upset, swage
vaccine, vaccinum
valdecoxib, Bextra
valsartan, Diovan
van, caravan
vancomycin, Vancocin
vaporizer, vaporiser
vardenafil, Levitra
vasoconstrictor, vasoconstrictive
vasoconstrictor, pressor
vasodilator, vasodilative
velour, velours
veneer, veneering
venogram, phlebogram
vent, venthole
vent, vent-hole
vent, blowhole
veranda, verandah
veranda, gallery
verapamil, Calan
verapamil, Isoptin
vermifuge, anthelmintic
vermifuge, anthelminthic
vermifuge, helminthic
vessel, watercraft
vest, waistcoat
vestry, sacristy
vibraphone, vibraharp
vibraphone, vibes
videodisk, videodisc
videodisk, DVD
viewgraph, overhead
vinblastine, Velban
vincristine, Oncovin
vineyard, vinery
violin, fiddle
viomycin, Viocin
viscometer, viscosimeter
visor, vizor
voider, gusset
wagon, waggon
wainscot, wainscoting
wainscot, wainscotting
wainscot, dado
wainscoting, wainscotting
wale, strake
walk, walkway
walk, paseo
walker, baby-walker
walker, go-cart
walker, Zimmer
walkie-talkie, walky-talky
wallboard, drywall
wallet, billfold
wallet, notecase
wallet, pocketbook
wampum, peag
wampum, wampumpeag
wardrobe, closet
wardrobe, press
warfarin, Coumadin
warhead, payload
warhead, load
washbasin, handbasin
washbasin, washbowl
washbasin, lavabo
washbasin, basin
washbasin, washbowl
washbasin, washstand
washbasin, lavatory
washboard, splashboard
washcloth, washrag
washcloth, flannel
watch, ticker
watchband, watchstrap
watchband, wristband
watchband, bracelet
watercolor, water-color
watercolor, watercolour
watercolor, water-colour
watercolor, water-color
watercolor, watercolour
watercolor, water-colour
watercourse, waterway
ways, shipway
ways, slipway
wayside, roadside
weapon, arm
weaponry, arms
weaponry, munition
weathervane, vane
web, entanglement
weeder, weed-whacker
whacker, whopper
whiffletree, whippletree
whiffletree, swingletree
whipstitch, whipping
whipstitch, whipstitching
whizbang, whizzbang
whizbang, whizzbang
whorehouse, brothel
whorehouse, bordello
whorehouse, bagnio
whorehouse, bawdyhouse
whorehouse, cathouse
wick, taper
wicker, wickerwork
wicker, caning
wicket, lattice
wicket, grille
wicket, hoop
wickiup, wikiup
willowware, willow-pattern
winch, windlass
windbreak, shelterbelt
winder, key
windmill, aerogenerator
windowpane, window
windshield, windscreen
wing, offstage
wing, backstage
winker, blinker
winker, blinder
wirework, grillwork
woodwind, wood
woof, weft
woof, filling
woof, pick
wool, woolen
wool, woollen
workbasket, workbox
workbasket, workbag
workbench, bench
workboard, work-board
work-clothing, work-clothes
working, workings
workplace, work
works, workings
workshop, shop
wrap, wrapper
wrapping, wrap
wrapping, wrapper
wreath, garland
wreath, coronal
wreath, chaplet
wreath, lei
wrench, spanner
yard, grounds
yard, curtilage
yard, railyard
yarmulke, yarmulka
yarmulke, yarmelke
yashmak, yashmac
yawl, dandy
yield, fruit
yoke, coupling
ziggurat, zikkurat
ziggurat, zikurat
zither, cither
zither, zithern
identity, individuality
character, fiber
character, fibre
inwardness, internality
spirituality, spiritualism
spirituality, spiritism
spirituality, otherworldliness
extraversion, extroversion
aloneness, loneliness
aloneness, lonesomeness
aloneness, solitariness
privacy, privateness
privacy, seclusion
disposition, temperament
animalism, physicality
bloodiness, bloodthirstiness
heart, spirit
restlessness, uneasiness
restlessness, queasiness
jactitation, jactation
skittishness, restiveness
compulsiveness, compulsivity
obsessiveness, obsessivity
emotionality, emotionalism
affectionateness, fondness
affectionateness, lovingness
affectionateness, warmth
mawkishness, sentimentality
mawkishness, drippiness
mawkishness, mushiness
mawkishness, soupiness
mawkishness, sloppiness
schmaltz, shmaltz
schmaltz, schmalz
heat, warmth
heat, passion
excitability, excitableness
excitability, volatility
unemotionality, emotionlessness
coldness, coolness
coldness, frigidity
coldness, frigidness
coldness, iciness
coldness, chilliness
dispassion, dispassionateness
dispassion, dryness
stoicism, stolidity
stoicism, stolidness
tepidness, lukewarmness
cheerfulness, cheer
cheerfulness, sunniness
cheerfulness, sunshine
good-temperedness, good-humoredness
good-temperedness, good-humouredness
good-temperedness, good-naturedness
gloominess, lugubriousness
gloominess, sadness
animation, spiritedness
animation, invigoration
animation, brio
animation, vivification
liveliness, life
liveliness, spirit
liveliness, sprightliness
airiness, delicacy
alacrity, briskness
alacrity, smartness
energy, muscularity
energy, vigor
energy, vigour
energy, vim
vitality, verve
breeziness, jauntiness
irrepressibility, buoyancy
exuberance, enthusiasm
exuberance, ebullience
pep, peppiness
pep, ginger
activeness, activity
dynamism, pizzazz
dynamism, pizzaz
dynamism, oomph
dynamism, zing
inactiveness, inactivity
inactiveness, inertia
languor, lethargy
languor, sluggishness
languor, phlegm
languor, flatness
passivity, passiveness
apathy, indifference
apathy, numbness
apathy, spiritlessness
listlessness, torpidity
listlessness, torpidness
listlessness, torpor
indolence, laziness
faineance, idleness
sloth, slothfulness
permissiveness, tolerance
toleration, acceptance
toleration, sufferance
indulgence, lenience
indulgence, leniency
unpermissiveness, restrictiveness
sternness, strictness
severity, severeness
severity, harshness
severity, rigor
severity, rigour
severity, rigorousness
severity, rigourousness
severity, inclemency
severity, hardness
severity, stiffness
grace, goodwill
patience, forbearance
patience, longanimity
agreeableness, agreeability
complaisance, compliance
complaisance, compliancy
complaisance, obligingness
complaisance, deference
crabbiness, crabbedness
crabbiness, crossness
crankiness, crotchetiness
crankiness, contrariness
crankiness, grumpiness
sulkiness, sullenness
sulkiness, moroseness
sulkiness, sourness
temper, biliousness
temper, irritability
temper, peevishness
temper, pettishness
temper, snappishness
temper, surliness
asperity, sharpness
bitterness, acrimony
bitterness, acerbity
bitterness, jaundice
bitterness, tartness
bitterness, thorniness
aggressiveness, belligerence
aggressiveness, pugnacity
bellicosity, bellicoseness
quarrelsomeness, contentiousness
truculence, truculency
readiness, eagerness
readiness, zeal
readiness, forwardness
receptiveness, receptivity
receptiveness, openness
unwillingness, involuntariness
reluctance, hesitancy
reluctance, hesitation
reluctance, disinclination
reluctance, indisposition
seriousness, earnestness
seriousness, serious-mindedness
seriousness, sincerity
committedness, commitment
graveness, gravity
graveness, sobriety
graveness, soberness
graveness, somberness
graveness, sombreness
sedateness, staidness
sedateness, solemnity
sedateness, solemness
stodginess, stuffiness
frivolity, frivolousness
giddiness, silliness
